s_no,error_type,username,user_id,osm_location_link,changeset_id,changeset_link,osm_object_type,osm_object_id,time_utc,country,detail
58,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.037097/30.314449,189370696,https://www.openstreetmap.org/changeset/189370696,node,13689945344,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1389266968 and building way 1494095780
59,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679531791,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492777541 and building way 1492777564
60,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.010539/30.303535,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679531792,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492777541 and building way 1492777563
61,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025547/30.340597,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736605,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811054 and building way 1492803067
62,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024679/30.339056,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736657,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811056 and building way 1492803078
63,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.025879/30.341082,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736557,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811061 and building way 1492803060
64,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024839/30.339155,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736625,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811064 and building way 1492803072
65,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.024544/30.339904,189370696,https://www.openstreetmap.org/changeset/189370696,node,13679736660,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1492811068 and building way 1492803079
66,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038409/30.358496,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820984,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197230 and building way 1493190795
67,node connected highway and building,DoloresReis,16805459,https://www.openstreetmap.org/#map=18/-2.038573/30.359626,189370696,https://www.openstreetmap.org/changeset/189370696,node,13682820993,2026-09-21T21:54:57Z,Rwanda,shared by highway way 1493197232 and building way 1493192772
